,diffSize,diffSlope,avgMsdSlopeMT,avgMsdSlopePI
0,0.046647367,0.01033783,0.02925772,0.01891989
1,-0.25698868,0.00878409,0.01586029,0.0070762
2,0.095966063,0.07574828,0.08640983,0.01066155
3,0.021965636,0.01037168,0.03457188,0.0242002
4,-0.135323399,0.00867056,0.01378195,0.00511139
5,-0.098499225,0.00499036,0.00627523,0.00128487
6,-0.035896047,0.01190447,0.01326751,0.00136304
7,-0.194146948,0.01298283,0.01391639,0.00093356
8,-0.06406196,0.01092098,0.01152744,0.00060646
9,-0.131597988,0.00126702,0.00432694,0.00305992
10,-0.249904288,0.00994445,0.01122737,0.00128292
11,-0.061489287,0.01090903,0.01107141,0.00016238
